Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764868576.5356274,1,-5,0,-3,-6,-3,0,-3,OPEN
1764868576.5422986,-4,-2,0,0,2,-1,1,0,OPEN
1764868576.55912,-8,1,4,0,7,-2,3,0,OPEN
1764868576.5726871,4,4,-1,-4,3,0,-3,-7,OPEN
1764868576.5817788,2,-3,-6,0,0,-1,2,-2,OPEN
1764868576.5962114,1,-2,-1,1,0,-3,-4,0,OPEN
1764868576.6031928,1,0,-2,-2,-5,5,-5,-4,OPEN
1764868576.6195161,-1,-1,-1,-2,-2,-3,-2,-3,OPEN
1764868576.632759,1,-1,-2,-3,-3,0,0,-2,OPEN
1764868576.6421916,-2,-5,-6,-3,-7,-3,0,-2,OPEN
1764868576.6555645,0,2,0,2,0,2,-3,1,OPEN
1764868576.662335,0,-1,-1,0,-1,3,4,1,OPEN
1764868576.678802,-3,-3,-4,-2,-1,-2,0,3,OPEN
1764868576.6924694,-1,-1,-2,-3,3,-7,-1,-1,OPEN
1764868576.7016022,-3,3,1,2,0,4,-1,-4,OPEN
1764868576.715824,3,-1,-2,0,-3,0,2,1,OPEN
1764868576.7223692,3,-6,-7,-5,-2,-5,-4,2,OPEN
1764868576.7388344,2,0,4,0,-3,0,-2,-1,OPEN
1764868576.7523196,2,0,3,0,4,0,-2,0,OPEN
1764868576.761631,-1,1,-3,-2,-2,-5,-2,1,OPEN
1764868576.775643,0,-4,-8,-1,0,-1,-6,0,OPEN
1764868576.782662,-1,1,0,-6,-3,3,1,0,OPEN
1764868576.798151,-4,-3,-2,-7,-2,-1,-3,-1,OPEN
1764868576.8050976,1,-3,-1,-2,-2,2,-2,-1,OPEN
1764868576.8125808,-2,1,1,2,-1,-3,-2,0,OPEN
1764868576.8214948,0,-5,-1,0,3,-7,-6,-1,OPEN
1764868576.83621,-1,0,-6,0,1,4,1,0,OPEN
1764868576.842343,-2,-6,-4,0,2,-2,-2,0,OPEN
1764868576.858053,-4,-3,-3,-5,-3,-6,-2,-4,OPEN
1764868576.8648238,0,0,-2,4,6,-1,2,1,OPEN
1764868576.8813248,-3,-1,-1,-1,-8,-1,-1,-3,OPEN
1764868576.895523,-1,2,-1,3,3,4,1,-1,OPEN
1764868576.9024796,-2,2,2,2,-2,-5,0,0,OPEN
1764868576.9181182,0,1,0,-1,0,-3,-1,-3,OPEN
1764868576.9251056,-2,-2,-7,-1,-4,-1,-4,-5,OPEN
1764868576.9415634,-2,-2,1,3,3,1,7,4,OPEN
1764868576.9558713,-1,-3,-3,-4,-7,-1,-3,4,OPEN
1764868576.962708,-2,1,-1,-1,-11,-2,0,-2,OPEN
1764868576.9785252,-1,-3,-2,-7,-5,-3,-3,-1,OPEN
1764868576.9850922,0,-2,2,1,8,4,1,-2,OPEN
1764868577.0012224,3,-1,-2,-5,-6,-5,-4,1,OPEN
1764868577.0159512,4,1,-1,3,5,-2,0,-2,OPEN
1764868577.023121,1,-2,-1,-1,-7,-2,3,-1,OPEN
1764868577.038848,-4,0,3,0,2,1,0,2,OPEN
1764868577.0453122,4,-2,-1,1,1,0,-1,-2,OPEN
1764868577.0620053,0,1,-1,-7,-11,0,0,-3,OPEN
1764868577.075898,-1,1,-4,-1,-3,-1,-3,-2,OPEN
1764868577.0831676,3,3,-3,6,-1,1,1,3,OPEN
1764868577.0980835,-1,-9,-2,-4,-1,-2,2,0,OPEN
1764868577.1048472,-2,-1,0,-4,-4,-5,-2,0,OPEN
1764868577.1212153,1,-1,2,4,0,2,-1,-2,OPEN
1764868577.135613,6,0,1,2,2,-1,1,-1,OPEN
1764868577.1425078,-6,1,2,-5,-3,0,-3,1,OPEN
1764868577.1581466,1,-4,3,0,2,0,0,-2,OPEN
1764868577.1649718,6,-3,0,2,2,-3,2,-1,OPEN
1764868577.1812081,-2,1,0,-2,-5,-6,-2,-2,OPEN
1764868577.1955705,-2,-1,2,-1,-4,-2,0,-3,OPEN
1764868577.2031486,-4,-6,-4,-2,6,2,5,0,OPEN
1764868577.2186387,-6,-2,1,0,3,-4,0,-4,OPEN
1764868577.2250817,3,-4,2,-2,-4,-1,-1,-4,OPEN
1764868577.2413015,-2,4,-6,3,1,6,-4,0,OPEN
1764868577.2555792,1,0,1,-2,3,-2,-3,-2,OPEN
1764868577.2624197,-4,1,-4,0,-2,0,-2,-5,OPEN
1764868577.2780678,0,0,-1,0,-4,0,-2,2,OPEN
1764868577.2852123,0,0,2,-5,-3,2,-4,0,OPEN
1764868577.301237,-3,-1,-1,-5,-4,-1,-2,-3,OPEN
1764868577.3239982,0,0,-3,-1,2,2,3,3,OPEN
1764868577.3384337,2,-1,1,0,5,1,2,-1,OPEN
1764868577.3447468,-1,3,-3,3,-2,-1,-3,2,OPEN
1764868577.3614411,-1,4,-1,-2,-4,-5,-5,-5,OPEN
1764868577.3755593,-1,-4,-2,-1,-5,0,1,-1,OPEN
1764868577.384747,-2,0,0,1,3,2,0,-2,OPEN
1764868577.3980968,1,0,-1,0,0,-5,-3,-1,OPEN
1764868577.404858,2,1,-3,0,-1,0,1,0,OPEN
1764868577.4212115,0,0,2,2,-2,2,1,3,OPEN
1764868577.4348574,1,-3,0,-5,0,0,3,3,OPEN
1764868577.4438605,-3,-3,-3,1,3,-3,2,0,OPEN
1764868577.457959,-4,-4,-1,-2,3,1,-3,1,REST
1764868577.4648957,4,1,4,0,1,1,0,0,REST
1764868577.481118,2,0,-5,-5,-10,-3,-5,-4,REST
1764868577.4947515,-1,1,0,1,1,0,-2,-1,REST
1764868577.5037608,-2,-1,1,-3,-7,1,0,1,REST
1764868577.5180223,-2,-1,-2,4,3,-2,2,2,REST
1764868577.5249481,0,-3,2,2,1,1,-2,0,REST
1764868577.5412006,-4,2,-2,3,13,-2,2,-5,REST
1764868577.5549698,-2,-1,2,2,1,2,-1,3,REST
1764868577.5647082,0,3,2,4,10,-1,-1,-3,REST
1764868577.5788236,-2,1,1,0,-1,-2,0,-3,REST
1764868577.5851252,1,0,-1,1,5,-2,-3,3,REST
1764868577.6014056,1,-3,0,-5,-8,-9,-1,1,REST
1764868577.6149745,1,0,-4,3,1,0,-2,4,REST
1764868577.6238108,-2,-4,-2,-4,-1,-2,0,0,REST
1764868577.638084,4,0,1,4,7,4,-1,3,REST
1764868577.6448307,-3,1,-2,-1,5,1,2,0,REST
1764868577.6613526,0,-1,2,-1,-2,2,-3,-7,REST
1764868577.6749346,-4,2,-2,1,3,1,-4,-3,REST
1764868577.683957,3,3,-4,-4,-10,-2,1,-6,REST
1764868577.6981835,-4,-1,5,-2,-2,4,3,2,REST
1764868577.7048316,1,0,-2,-2,1,0,-1,-1,REST
1764868577.720507,-1,-2,2,0,-3,-1,-2,-1,REST
1764868577.7273781,-6,-3,0,1,1,1,-1,-4,REST
1764868577.734868,4,-1,-1,1,3,2,-2,4,REST
1764868577.7439368,4,0,1,-1,-5,-4,0,-3,REST
1764868577.7581596,1,-3,0,-6,-4,-4,0,-5,REST
1764868577.7648778,-3,2,-2,2,-1,0,0,2,REST
